threshold,f1,precision,recall,fpr,tp,fp,tn,fn
0.42,0.7708333333333334,0.7254901960784313,0.8222222222222222,0.3111111111111111,185,70,155,40
0.43,0.773109243697479,0.7330677290836654,0.8177777777777778,0.29777777777777775,184,67,158,41
0.44,0.7747368421052632,0.736,0.8177777777777778,0.29333333333333333,184,66,159,41
0.45,0.7718550106609808,0.7418032786885246,0.8044444444444444,0.28,181,63,162,44
0.46,0.7718550106609808,0.7418032786885246,0.8044444444444444,0.28,181,63,162,44
0.47,0.7708779443254818,0.743801652892562,0.8,0.27555555555555555,180,62,163,45
0.48,0.7672413793103449,0.7447698744769874,0.7911111111111111,0.27111111111111114,178,61,164,47
0.49,0.7662337662337663,0.7468354430379747,0.7866666666666666,0.26666666666666666,177,60,165,48
0.5,0.7662337662337663,0.7468354430379747,0.7866666666666666,0.26666666666666666,177,60,165,48
0.51,0.7581699346405228,0.7435897435897436,0.7733333333333333,0.26666666666666666,174,60,165,51
0.52,0.7516483516483516,0.7434782608695653,0.76,0.26222222222222225,171,59,166,54
0.53,0.748898678414097,0.74235807860262,0.7555555555555555,0.26222222222222225,170,59,166,55
0.54,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.25333333333333335,168,57,168,57
0.55,0.7438752783964365,0.7455357142857143,0.7422222222222222,0.25333333333333335,167,57,168,58
0.56,0.7410714285714286,0.7443946188340808,0.7377777777777778,0.25333333333333335,166,57,168,59
0.57,0.7342342342342343,0.7442922374429224,0.7244444444444444,0.24888888888888888,163,56,169,62
0.58,0.7358916478555305,0.7477064220183486,0.7244444444444444,0.24444444444444444,163,55,170,62
0.59,0.7318181818181818,0.7488372093023256,0.7155555555555555,0.24,161,54,171,64
0.6,0.7322654462242563,0.7547169811320755,0.7111111111111111,0.2311111111111111,160,52,173,65
0.61,0.7264367816091954,0.7523809523809524,0.7022222222222222,0.2311111111111111,158,52,173,67
0.62,0.728110599078341,0.7559808612440191,0.7022222222222222,0.22666666666666666,158,51,174,67
0.63,0.7297921478060047,0.7596153846153846,0.7022222222222222,0.2222222222222222,158,50,175,67
0.64,0.7272727272727273,0.7647058823529411,0.6933333333333334,0.21333333333333335,156,48,177,69
0.65,0.7259953161592506,0.7673267326732673,0.6888888888888889,0.2088888888888889,155,47,178,70
0.66,0.7230046948356808,0.7661691542288557,0.6844444444444444,0.2088888888888889,154,47,178,71
0.67,0.7216981132075472,0.7688442211055276,0.68,0.20444444444444446,153,46,179,72
0.68,0.7203791469194313,0.7715736040609137,0.6755555555555556,0.2,152,45,180,73
0.69,0.7220902612826603,0.7755102040816326,0.6755555555555556,0.19555555555555557,152,44,181,73
0.7,0.7177033492822966,0.7772020725388601,0.6666666666666666,0.19111111111111112,150,43,182,75
0.71,0.7053140096618358,0.7724867724867724,0.6488888888888888,0.19111111111111112,146,43,182,79
0.72,0.7055961070559611,0.7795698924731183,0.6444444444444445,0.18222222222222223,145,41,184,80
0.73,0.7009803921568627,0.7814207650273224,0.6355555555555555,0.17777777777777778,143,40,185,82
0.74,0.6882793017456359,0.7840909090909091,0.6133333333333333,0.1688888888888889,138,38,187,87
0.75,0.6882793017456359,0.7840909090909091,0.6133333333333333,0.1688888888888889,138,38,187,87
0.76,0.6867167919799498,0.7873563218390804,0.6088888888888889,0.16444444444444445,137,37,188,88
0.77,0.6784810126582278,0.788235294117647,0.5955555555555555,0.16,134,36,189,91
0.78,0.6836734693877551,0.8023952095808383,0.5955555555555555,0.14666666666666667,134,33,192,91
0.79,0.6752577319587629,0.803680981595092,0.5822222222222222,0.14222222222222222,131,32,193,94
0.8,0.6787564766839378,0.8136645962732919,0.5822222222222222,0.13333333333333333,131,30,195,94
0.81,0.6649076517150396,0.8181818181818182,0.56,0.12444444444444444,126,28,197,99
0.82,0.6649076517150396,0.8181818181818182,0.56,0.12444444444444444,126,28,197,99
0.83,0.6684350132625995,0.8289473684210527,0.56,0.11555555555555555,126,26,199,99
0.84,0.6559139784946236,0.8299319727891157,0.5422222222222223,0.1111111111111111,122,25,200,103
0.85,0.6356164383561644,0.8285714285714286,0.5155555555555555,0.10666666666666667,116,24,201,109
0.86,0.6298342541436464,0.8321167883211679,0.5066666666666667,0.10222222222222223,114,23,202,111
0.87,0.6201117318435754,0.8345864661654135,0.49333333333333335,0.09777777777777778,111,22,203,114
0.88,0.615819209039548,0.8449612403100775,0.48444444444444446,0.08888888888888889,109,20,205,116
0.89,0.603448275862069,0.8536585365853658,0.4666666666666667,0.08,105,18,207,120
0.9,0.5872093023255814,0.8487394957983193,0.4488888888888889,0.08,101,18,207,124
0.91,0.5806451612903226,0.853448275862069,0.44,0.07555555555555556,99,17,208,126
0.92,0.572289156626506,0.8878504672897196,0.4222222222222222,0.05333333333333334,95,12,213,130
0.93,0.5565749235474006,0.8921568627450981,0.40444444444444444,0.04888888888888889,91,11,214,134
0.94,0.5063291139240507,0.8791208791208791,0.35555555555555557,0.04888888888888889,80,11,214,145
0.95,0.46405228758169936,0.8765432098765432,0.31555555555555553,0.044444444444444446,71,10,215,154
