epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall,train_auc,val_auc,train_val_f1_gap,lr,time_sec
1,4.265673034910172,3.953016995324029,0.6436068702290076,0.6644444444444444,0.6532570013925422,0.6860706860706861,0.6362266425557564,0.64453125,0.6712241653418124,0.7333333333333333,0.6822515221702959,0.7291456790123456,-0.03281368467814394,0.00029917828430524096,223.5862102508545
2,3.7369003398834715,3.849373915990194,0.7270992366412213,0.7111111111111111,0.7334575955265611,0.7410358565737052,0.7169754023686608,0.6714801444043321,0.7507154213036566,0.8266666666666667,0.7935448952349253,0.807604938271605,-0.007578261047144097,0.0002967221401100708,231.98791241645813
3,3.6225038183303107,3.7421754784054224,0.7660623409669212,0.7555555555555555,0.769688429622671,0.751131221719457,0.7579401788467468,0.7649769585253456,0.7818066157760815,0.7377777777777778,0.8417919305078051,0.8256592592592593,0.018557207903214024,0.00029265847744427303,233.9768443107605
4,3.5407981660630967,3.82938499238756,0.7897582697201018,0.7622222222222222,0.7946567256912085,0.7658643326039387,0.7765634486945963,0.7543103448275862,0.8136132315521628,0.7777777777777778,0.8738023959365229,0.8238814814814814,0.028792393087269774,0.0002870318186463901,233.90755033493042
5,3.4568070644802518,3.7890720452202693,0.8295165394402035,0.74,0.8313935199748349,0.7597535934291582,0.8225957049486461,0.7061068702290076,0.8403815580286168,0.8222222222222222,0.9093431437463928,0.8245925925925927,0.07163992654567675,0.0002799038105676658,233.7560214996338
6,3.409126586308555,3.831703626844618,0.8465330788804071,0.7422222222222222,0.8479596659839295,0.7444933920704846,0.8391019644527596,0.7379912663755459,0.8570063694267516,0.7511111111111111,0.9263856234673313,0.8113185185185184,0.10346627391344487,0.0002713525491562421,234.19950342178345
7,3.346486997452993,3.753754278818766,0.8770674300254453,0.7488888888888889,0.8785927438354013,0.7505518763796909,0.8675558312655087,0.7456140350877193,0.8899140948138721,0.7555555555555555,0.9514453346498413,0.8036345679012347,0.12804086745571042,0.00026147172382160914,234.18627977371216
8,3.311022111801874,3.777138803270128,0.8926526717557252,0.76,0.8935499132628922,0.7662337662337663,0.886143259305599,0.7468354430379747,0.9010814249363868,0.7866666666666666,0.9614998316596417,0.8151308641975309,0.12731614702912597,0.00025036959095382875,234.3286521434784
9,3.2885021015954394,3.736161134507921,0.91014631043257,0.7511111111111111,0.9114558846575772,0.759656652360515,0.8980852378011118,0.7344398340248963,0.9252306713331212,0.7866666666666666,0.9700153823041286,0.8229728395061728,0.15179923229706216,0.000238167787843871,233.8049454689026
10,3.2559248382326156,3.77048169347975,0.919529262086514,0.7333333333333333,0.9200126462219412,0.7457627118644068,0.9139447236180904,0.7125506072874493,0.9261616804583068,0.7822222222222223,0.9773413179032067,0.8140444444444446,0.17424993435753444,0.00022500000000000002,234.28229331970215
11,3.2462567441425625,3.737097101211548,0.926208651399491,0.7422222222222222,0.9269521410579346,0.7351598173515982,0.9182782283218964,0.755868544600939,0.9357914812460267,0.7155555555555555,0.9785897078443806,0.8253629629629629,0.19179232370633637,0.0002110104964613701,234.60818028450012
12,3.2317532954140313,3.7160971885257297,0.9373409669211196,0.7466666666666667,0.9378548895899054,0.7553648068669528,0.9305164319248826,0.7302904564315352,0.9453100158982511,0.7822222222222223,0.9843106567854375,0.820720987654321,0.18249008272295253,0.00019635254915624216,234.25725722312927
13,3.2181741938515316,3.7489160018497043,0.938295165394402,0.7444444444444445,0.9387045813586098,0.760914760914761,0.9328100470957614,0.71484375,0.9446740858505565,0.8133333333333334,0.9866366675484978,0.8452740740740742,0.17778982044384883,0.00018118675362266393,234.28852558135986
