epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall,train_auc,val_auc,train_val_f1_gap,lr,time_sec
1,0.42073869857813867,0.4434729787376192,0.8110687022900763,0.8244444444444444,0.8120253164556962,0.8232662192393736,0.8074260541220893,0.8288288288288288,0.8166772756206238,0.8177777777777778,0.8910309859690682,0.8853530864197532,-0.011240902783677398,9.938441702975689e-05,388.2057912349701
2,0.1691142218649558,0.6667929289076063,0.9362277353689568,0.7555555555555555,0.9361972951471759,0.7629310344827587,0.9372411596049698,0.7405857740585774,0.9351557533375715,0.7866666666666666,0.9819026959962092,0.8635259259259259,0.1732662606644172,9.755282581475769e-05,391.77428817749023
3,0.07480093657625478,0.6247789574993982,0.9737595419847328,0.7755555555555556,0.9737720553171197,0.7760532150776053,0.9739268680445151,0.7743362831858407,0.9736172917991099,0.7777777777777778,0.9962059669397209,0.8740148148148148,0.19771884023951447,9.45503262094184e-05,391.69899249076843
4,0.035373638995631916,0.8930262589620219,0.9875954198473282,0.7666666666666667,0.9875875238701464,0.7355163727959698,0.9879019420566698,0.8488372093023255,0.9872733057588291,0.6488888888888888,0.9989976463708942,0.8617679012345679,0.25207115107417655,9.045084971874738e-05,391.78801941871643
5,0.02918452801711697,1.0035879940456813,0.9899809160305344,0.7577777777777778,0.9899793224113249,0.7528344671201814,0.9901368119630926,0.7685185185185185,0.989821882951654,0.7377777777777778,0.9992809114982939,0.8545185185185186,0.23714485529114349,8.535533905932738e-05,391.7365520000458
